City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,ouallam,14.3188,2.0866,18.89,25,2,5.36,NE,1702347231
208,carbonear,47.7332,-53.2148,12.57,96,100,10.93,CA,1702347231
209,kaintragarh,20.7167,84.5333,17.52,71,0,0.36,IN,1702347231
210,ariquemes,-9.9133,-63.0408,23.87,89,96,0.99,BR,1702347231
211,dunedin,-45.8742,170.5036,9.89,72,96,4.02,NZ,1702347115
212,yebaishou,41.3975,119.6408,-11.12,47,53,0.75,CN,1702346946
213,nelson bay,-32.7167,152.15,27.03,72,2,2.24,AU,1702347232
214,ulanhot,46.0833,122.0833,-17.07,63,95,1.17,CN,1702347232
215,bantogon,6.5333,124.0333,28.45,69,3,1.95,PH,1702347232
216,constantia,44.1833,28.65,0.39,83,67,4.04,RO,1702347232
217,cabo san lucas,22.8909,-109.9124,23.75,75,0,0.0,MX,1702347197
218,saldanha,-33.0117,17.9442,16.03,78,98,9.37,ZA,1702347232
219,aasiaat,68.7098,-52.8699,-1.33,83,100,3.65,GL,1702347232
220,la tuque,47.4334,-72.7824,-5.86,79,99,3.09,CA,1702347232
221,hammerfest,70.6634,23.6821,-1.75,100,100,3.6,NO,1702347172
222,lata,40.1629,-8.3327,17.12,95,100,1.73,PT,1702347232
223,wuxi,31.5689,120.2886,4.41,69,100,5.71,CN,1702347233
224,laguna,38.421,-121.4238,11.73,66,0,0.0,US,1702347188
225,victoria falls,-17.9235,25.843,21.62,76,54,1.15,ZW,1702347233
226,praya,14.9215,-23.5087,22.3,83,62,4.12,CV,1702347233
227,yuzhno-kurilsk,44.0306,145.8556,0.76,76,100,3.77,RU,1702347233
228,kutum,14.2,24.6667,16.08,24,95,5.44,SD,1702347233
229,invercargill,-46.4,168.35,11.01,59,78,8.63,NZ,1702347233
230,queenstown,-31.8976,26.8753,14.4,79,0,1.63,ZA,1702346707
231,noosa heads,-26.3833,153.15,28.52,61,90,4.56,AU,1702347233
232,akrehamn,59.2667,5.1833,4.12,87,100,4.12,NO,1702347233
233,villa huidobro,-34.8383,-64.5869,26.79,25,0,7.46,AR,1702347233
234,broken hill,-31.95,141.4333,32.5,24,3,3.33,AU,1702347234
235,fale old settlement,-9.3852,-171.2468,29.03,78,100,8.72,TK,1702347234
236,turochak,52.2576,87.1224,-29.78,99,52,0.77,RU,1702347234
237,vernon,50.2581,-119.2691,3.67,89,62,0.45,CA,1702346988
238,chonchi,-42.6128,-73.8092,10.56,96,100,1.29,CL,1702347234
239,cumadcad,12.9806,123.7892,29.38,68,19,3.74,PH,1702347234
240,thinadhoo,0.5333,72.9333,28.02,74,15,2.04,MV,1702347234
241,cidreira,-30.1811,-50.2056,21.12,81,5,7.79,BR,1702347234
242,wanning,18.8003,110.3967,25.29,78,49,3.01,CN,1702347007
243,rosetta,31.4044,30.4164,16.87,67,6,2.64,EG,1702347234
244,lerwick,60.1545,-1.1494,5.0,70,95,3.25,GB,1702347235
245,ust-nera,64.5667,143.2,-20.24,98,100,3.58,RU,1702347235
246,coquimbo,-29.9533,-71.3436,16.39,82,1,2.9,CL,1702347103
247,najran,17.4924,44.1277,9.36,38,34,0.51,SA,1702347235
248,papao,-17.75,-149.55,29.82,81,82,11.48,PF,1702346973
249,hamilton,39.1834,-84.5333,1.08,81,0,1.34,US,1702346520
250,chuhar jamali,24.3895,67.9923,19.33,71,98,2.39,PK,1702347235
251,sorong,-0.8833,131.25,29.17,72,98,2.33,ID,1702347235
252,hutchinson,38.0608,-97.9298,5.85,60,0,0.0,US,1702347212
253,selfoss,63.9331,-20.9971,-3.31,92,26,2.79,IS,1702347235
254,basco,20.4487,121.9702,26.47,74,87,5.61,PH,1702347235
255,pitimbu,-7.4706,-34.8086,26.33,74,2,4.61,BR,1702347235
256,acapulco de juarez,16.8634,-99.8901,27.9,78,100,0.0,MX,1702347020
257,tazovsky,67.4667,78.7,-25.48,93,100,3.84,RU,1702347235
258,fort morgan,40.2503,-103.8,6.36,52,100,4.63,US,1702347236
259,richards bay,-28.783,32.0377,19.11,94,96,1.42,ZA,1702347236
260,nanping,26.645,118.1736,15.96,91,100,1.97,CN,1702347236
261,alofi,-19.0595,-169.9187,28.94,74,75,4.12,NU,1702347236
262,kununurra,-15.7667,128.7333,34.99,43,51,5.14,AU,1702346980
